X, Y, Z
4.414296, 6.314251, 2.427286
1.791427, -0.106496, 2.099640
3.313832, 4.133682, 2.944452
3.834390, 8.741711, 4.407463
4.600972, 6.159371, 3.267577
5.116671, 4.029952, 1.476733
5.570774, 0.915754, 5.164257
3.266018, 7.733579, 2.054284
7.239748, 5.599324, 7.694711
3.216763, 6.858840, 4.412742
4.326845, 10.366479, 5.878379
4.778798, 4.744838, 5.893584
4.745768, 3.005456, 1.276137
3.631306, 6.402243, 5.557586
3.564405, 1.658595, 3.961131
3.666521, 6.007508, 4.663484
4.392485, 8.630598, -0.058605
5.002450, 2.313230, -1.179970
5.836334, 6.144429, 5.563537
3.062285, 7.272869, 1.793645
3.194836, 5.348487, 1.009318
1.669961, 5.601297, -1.434316
1.113139, 2.652887, 6.550935
2.257567, 6.939759, 3.616148
6.951063, 8.913616, 6.985393
4.133788, 6.024900, 1.229460
3.620990, 7.046450, 3.498850
4.625876, 3.652751, 3.918466
2.080100, 2.547440, 3.541310
7.897575, 4.209016, 3.493110
5.677374, 6.642927, 3.696464
8.253568, 5.075678, 3.847974
4.504081, 3.684870, 1.270231
5.222270, 7.090455, 3.598318
4.811703, 5.471131, 5.763159
3.083448, 1.543314, 3.392595
4.228865, 6.897915, 1.175898
4.728407, 7.213651, 1.876267
5.022020, 6.955393, 9.125997
3.651386, 1.739662, 2.533135
4.499495, 3.114742, 3.519771
4.597179, 6.071757, 1.382440
1.832432, 7.710012, 0.886416
4.770352, 5.064082, 2.649978
6.657455, 7.982061, 1.153353
4.700916, 2.826550, 4.631606
4.706808, 8.904995, 2.860854
6.946673, 5.125810, 3.020587
11.588616, 8.249936, 2.915606
2.935933, 5.126773, 4.026039
2.084439, 8.648433, 2.323273
6.464456, 1.000450, 3.675731
4.453937, 9.464935, 3.564928
8.410289, 5.048849, 2.088022
3.963293, 7.609858, 4.512987
5.885602, 9.474058, 5.266718
2.349066, 5.980389, 4.878380
6.115911, 7.306557, 2.294997
6.125360, 7.580433, 4.811601
9.423164, 6.177132, 5.813216
4.531237, 5.368965, 2.291144
6.582901, 4.880648, 4.660656
4.495422, 6.124661, 4.985482
1.652581, 6.258309, 6.006257
4.129282, 8.407575, 0.622478
7.055052, 9.826102, 7.955073
6.349383, 7.236413, 5.583868
3.877019, 7.939496, 6.358753
5.581043, 5.447855, 3.753468
3.227853, 5.974038, 3.913051
3.903029, 10.329142, 5.915025
2.982208, 6.976970, 2.439777
6.528210, 4.965235, 0.091271
4.085061, 4.499991, 5.213541
8.875053, 4.580835, 3.139227
4.651880, 8.002821, 3.539798
2.782828, 5.973730, 1.539343
7.844805, 0.964440, -0.786644
5.219983, 5.597339, 7.768533
4.493734, 6.401915, 2.108301
3.184703, 6.413927, 3.317950
4.973591, 4.605744, -0.717026
5.462003, 5.114208, 1.326251
4.566890, 3.850454, 5.779493
7.117025, 5.053157, 1.498510
-5.836522, -2.052524, 8.608902
-6.240543, 0.233653, 5.395255
-12.427202, 1.296138, 6.386751
-10.848714, -0.033866, 5.747330
-10.266392, -2.649651, 5.683131
-5.538714, -2.384074, 2.758234
-9.253609, -2.983702, 4.055518
-10.121941, 1.347358, 7.012067
-8.583402, -2.976624, 8.446016
-6.698020, 0.556302, 5.059577
-8.567476, -2.400489, 5.009203
-6.780397, -1.071414, 7.415426
-9.268893, -0.087376, 4.902201
-7.488480, -0.984655, 3.519201
-7.274173, -2.572023, 2.283940
-5.309392, -2.736072, 1.867871
-8.599776, 1.270799, 4.009251
-11.197500, 1.742985, 5.679002
-10.802047, 1.048429, 4.723597
-8.212974, -2.872083, 6.960245
-8.153670, 1.871051, 4.111595
-5.045290, -2.388837, 5.358794
-9.714492, 0.646221, 6.150746
-5.693226, 0.148528, 9.255675
-5.831970, 2.203966, 3.857022
-6.625165, -3.475129, 6.123092
-7.432621, -1.203687, 3.636793
-7.533321, 1.126555, 9.127144
-2.110162, -0.611220, 2.652042
-7.737700, -2.988612, 4.042703
-3.365046, 0.355108, 5.501788
-7.093329, -0.412865, 2.940865
-7.067832, 0.717855, 3.297923
-7.715670, -0.201609, 4.986567
-10.648605, 2.485918, 7.394649
-8.308916, -1.085806, 5.279724
-9.201143, -3.117829, 9.150959
-6.942816, -1.490360, 3.352405
-2.792555, 0.722865, 1.568496
-8.240409, -0.317118, 7.373596
-5.605927, 4.797075, 3.912351
-4.992930, -2.168793, 5.926275
-12.257791, -2.268019, 4.768851
-8.052213, -2.742192, 1.018000
-10.041771, -0.020684, 8.180392
-8.737952, -0.008431, 7.393559
-7.661971, 0.234389, 5.044840
-11.709968, 1.583960, 2.356065
-7.861660, -1.488445, 6.752400
-6.503168, -1.751715, 5.113555
-8.981836, -0.357011, 9.281630
-9.424005, -2.208883, 8.897142
-9.489380, -1.812052, 4.144781
-8.937298, -3.701066, 8.445079
-9.251954, -0.085110, 4.287582
-6.258124, 0.182957, 8.943457
-9.877344, 0.474438, 6.376193
-10.653307, 0.730315, 5.833905
-5.409572, 0.140045, 5.437550
-8.956575, -1.540236, 3.858241
-7.298451, -4.068791, 7.628273
-9.944370, -3.395087, 3.865250
-10.168497, 0.384982, 4.801380
-8.658876, -2.854791, 4.357970
-9.078045, -3.105565, 4.897978
-7.271792, 1.636526, 6.286256
-6.628463, -2.570971, 6.009850
-6.156844, -0.994295, 9.380633
-6.358355, -2.442808, 6.283327
-6.932050, 2.155254, 6.370639
-10.571724, -1.214740, 7.797207
-9.010777, -1.444230, 4.438317
-11.569986, 1.421640, 4.668330
-11.450971, 1.918056, 2.017165
-13.008288, -3.736012, 5.968768
-5.480225, -2.918434, 5.804722
-4.866045, -4.291796, 6.923871
-5.250075, -1.007523, 4.574184
-9.474823, 1.154693, 3.819369
-6.158442, 1.272077, 4.902490
-4.115017, -2.951459, 7.360502
-6.009755, -0.843173, 9.043986
-8.868197, -3.491351, 5.020963
-5.444610, -2.063209, 6.929816
-8.192996, -0.166718, 4.596093
-5.362202, -1.665510, 3.552809
-7.634894, -1.872395, 3.920282
-7.219254, -0.366835, 5.260201
-6.852691, 1.117700, 6.975978
-9.596989, -2.327078, 4.253904
-8.870915, -0.765890, 7.514453
-10.693702, -2.855329, 5.573591
-10.496704, -2.189972, 4.595620
-9.898559, -0.461559, 4.565402
-7.956758, 0.647013, 8.110014
-6.684907, -1.439190, 5.253420
-7.988506, 2.108445, 6.979213
-5.853352, -0.969959, 8.451374
-7.334022, -2.705034, 2.397775
-6.394857, -0.898412, 5.251899
-10.052918, 2.914343, 2.522098
-9.216217, -1.542728, 7.127131
-7.763114, -0.687189, 3.625394
-7.426072, 6.038540, 3.776668
-7.441597, -0.771325, 6.310811
-7.430838, -4.904153, 6.907498
-8.623020, -1.051306, 6.466957
-9.781207, -2.789959, 6.489918
-8.309508, -1.655771, 8.331278
-10.451145, -5.530561, 7.804056
-3.500499, 0.598670, 6.024915
-5.853289, -0.088383, 8.135939
-8.943801, -1.275308, 7.517356
-8.524193, -0.035696, 4.202329
-6.444755, -0.950111, 10.167957
-5.563030, -0.218952, 5.786881
-5.931550, -3.112069, 5.634473
-8.486178, 0.880848, 5.144690
-5.214518, -4.927710, 6.455437
-6.102730, -0.522720, 5.215605
-9.052686, -0.598034, 4.973568
-7.022591, -1.419520, 4.160843
-8.246293, -1.270475, 4.541167
-6.580688, 0.241830, 5.440694
-11.825527, 0.233920, 8.780819
-8.019750, -0.315262, 5.009059
-7.213044, 0.593252, 5.503655
-8.824904, -0.796442, 2.239668
-7.368687, -1.379358, 4.539271
-8.328118, -5.087124, 2.548020
-11.995108, 2.295012, 2.415698
-8.746408, -5.289362, 9.695528
-6.620677, -3.283072, 5.449198
-9.348455, 1.065907, 2.623325
-8.290136, -0.498256, 4.121718
-4.819024, 0.346123, 8.155027
-6.786097, 1.790315, 6.142513
-9.571875, -1.484644, 7.525298
-7.977290, -0.015845, 8.533217
-8.806200, -2.443585, 3.057750
-6.832015, -1.553337, 5.080566
-4.810786, -2.432521, 9.339285
-7.485307, -3.384669, 4.620934
-6.854590, -0.474244, 5.050330
-8.296911, -2.877315, 3.458169
-6.018212, -2.273680, 2.187738
-8.676932, 2.122168, 4.304231
-7.225778, -2.082746, 8.919639
-11.816522, 0.627236, 6.351508
-6.802772, -2.095178, 12.293479
-10.686764, -2.145193, 5.264140
-8.921403, -4.575221, 5.266495
-10.332520, 0.331210, 5.768347
-6.618970, 0.319879, 2.249914
-9.726538, 0.319342, 5.847374
-3.684421, -2.232705, 8.492464
-8.552347, -0.568358, 3.065026
-12.556335, -3.052898, 4.219645
-5.246553, -5.039885, 6.365260
-9.570922, -6.041084, 6.115710
-9.523685, -1.598166, 3.669665
-6.302404, 0.263323, 6.284477
-8.424558, -4.852864, 6.841777
-6.464289, -0.496245, 5.726319
-8.343139, 1.129678, 3.899083
-8.212849, -2.079065, 7.198146
-9.618201, -3.996699, 7.712959
-7.400361, -1.321358, 6.015184
-11.158562, 0.122916, 3.745775
-6.807343, -0.052699, 7.588099
-8.946342, 0.901777, 3.083589
-5.873968, 0.304902, 5.551603
-8.714634, -1.119785, 4.037695
-7.279124, 0.770182, 7.841309
-10.374748, 2.600035, 4.711106
-7.002776, -3.687570, 5.709872
-9.879876, -0.500367, 6.695052
-4.635671, 1.837540, 5.369372
-11.708339, -2.443847, 4.444598
-6.052267, -3.003097, 3.752475
-8.896740, -1.543017, 7.119563
-5.458436, -2.063926, 2.848019
-6.470399, 0.414038, 9.254428
-9.825453, 0.886375, 4.178949
-7.700716, -2.673698, 5.290891
-5.629392, 1.315189, 7.641317
-8.424598, -0.612834, 5.176522
-7.365080, -1.770866, 6.610750
-4.893923, 0.777074, 7.668381
-5.741200, -0.888339, 3.731961
-9.065206, -0.594096, 6.517423
-8.506035, -0.916070, 3.874736
-9.996355, -3.150881, 3.979335
-11.760218, -1.020394, 5.861964
-7.881058, -0.329933, 4.379540
-5.903021, 1.465362, 4.023616
-6.149308, 1.295852, 5.569212
-7.792507, 0.512127, 7.925963
-8.010609, -1.586928, 6.507294
-9.276596, -2.732747, 7.218547
-8.566243, -1.754706, 3.277043
-10.129418, 0.213788, 6.801035
-8.879338, 3.777582, 4.876731
-8.568967, 0.299656, 4.231606
-7.451123, -1.037120, 3.589527
-7.849086, 1.245162, 4.803461
-8.296423, -0.974348, 4.909556
-6.374492, -0.840493, 6.177355
-9.227889, 0.796139, 5.124028
-5.245245, -2.040377, 6.177222
-8.752470, -0.745688, 5.983519
-7.816883, -1.483785, 5.904287
-5.882356, -1.782044, 3.918119
-6.491246, -3.759926, 3.930176
-8.678114, -3.034086, 6.336609
-6.553009, 2.465464, 7.007300
-5.767197, 0.321631, 8.710476
-4.834221, -2.799568, 9.063674
-6.387486, -3.516141, 5.325323
-5.367057, 0.088418, 7.095832
-4.645677, -1.733101, 10.259342
-5.923679, -2.684295, 5.209338
-6.646897, -2.671449, 7.813749
-2.895083, -0.430012, 3.975711
-8.439569, 1.246592, 4.244155
-7.952417, -1.935316, 5.396727
-5.454981, -0.282574, 8.375383
-8.199303, 0.629215, 3.967382
-8.869311, 2.154800, 7.465588
-10.750863, -3.836061, 3.587453
-4.471978, 0.697580, 4.053698
-10.485728, 0.396988, 4.594746
-10.368156, -4.173501, 6.977571
-9.113676, -3.483404, 6.053792
-6.242112, -3.536931, 5.116419
-8.268466, -1.315165, 4.046914
-6.701746, -0.355010, 4.141665
-5.320104, -3.649739, 5.761388
-8.690450, -0.978542, 2.048790
-4.642668, 0.711468, 2.562565
-7.225621, -0.955548, 3.294493
-7.271523, -1.223162, 8.326912
-10.443115, 0.369140, 6.190778
-8.152010, -1.442636, 9.878438
-6.577028, -1.883585, 3.500293
-7.132539, -0.712355, 8.256165
-6.269347, -0.102776, 4.449063
-2.637227, -0.396702, 5.041156
-3.152200, -1.319093, 5.891432
-7.325521, -0.457685, 2.757926
-7.155643, -6.989621, 4.136314
-6.045288, -3.171585, 5.332858
-4.887133, -2.515429, 5.820919
-1.159979, -0.672003, 6.095471
-8.803846, -2.060306, 8.279715
-6.162095, -1.440288, 6.785846
-7.245446, -3.663307, 8.404362
-3.836034, -3.963158, 5.377845
-9.422754, -6.519921, 5.096237
-5.735898, -6.046269, 6.568536
-8.795419, -2.091730, 6.322871
-9.244290, -0.951443, 9.420992
-5.633165, -2.814202, 4.921632
-8.181031, -4.696329, 8.275851
-4.135590, -4.431610, 2.730799
-6.422405, -3.223641, 6.727217
-2.987425, -6.726850, 5.775263
-7.717390, -4.560368, 4.134863
-5.208890, -2.775288, 5.641591
-4.064088, -1.290069, 2.226223
-7.277054, -3.480623, 3.773144
-10.047623, -3.471759, 5.979760
-6.413109, -3.260430, 3.919076
-3.732698, -3.382871, 5.547009
-5.450582, -2.842501, 7.466665
-5.542057, -6.745150, 5.869266
-7.839559, -0.653522, 5.162178
-3.993326, -2.397432, 5.917817
-6.201855, -4.348986, 7.289245
-4.065253, -2.408456, 5.492991
-6.550105, -0.490535, 6.301852
-5.312423, -1.154808, 3.280690
-6.165421, -1.038098, 5.680503
-5.463743, 0.001607, 1.669326
-6.852295, -3.708022, 6.052343
-7.799959, -1.574341, 5.899383
-6.916976, -0.671621, 7.364600
-5.851736, -0.437880, 2.852957
-5.773841, -5.345495, 3.274670
-2.940636, -1.331541, 5.863934
-6.373358, -3.308125, 8.303294
-6.808857, -5.360878, 2.359052
-6.067855, -1.396665, 6.329404
-5.631601, -2.576397, 6.674432
-7.813321, -2.979916, 5.657688
-9.818345, -5.135015, 7.285064
-4.822062, -4.379167, 6.475246
-7.418862, -0.706522, 5.902453
-7.809158, -1.103782, 4.157043
-4.932168, -3.665418, 2.855814
-6.863616, -8.397100, 3.617727
-5.129763, 0.335717, 2.883804
-8.537254, -3.795734, 6.537868
-4.512066, -5.747548, 6.213943
-5.058829, -5.044456, 4.825990
-4.555457, -4.019413, 3.095395
-6.202417, -3.461817, 7.102902
-3.728029, -2.382510, 5.865811
-6.983412, -3.455202, 5.623704
-9.127804, -2.882605, 7.206220
-5.347843, -4.579962, 6.710990
-3.619443, -4.221424, 4.701734
-6.682175, -0.439799, 1.628144
-9.519562, -1.849970, 7.038972
-7.700893, -5.701547, 5.484220
-10.878464, -4.037967, 5.205419
-9.016648, -6.063449, 3.423983
-4.918058, -4.084918, 5.310708
-6.603979, -3.406947, 7.837723
-9.181676, -5.634708, 6.257755
-5.818053, -3.345656, 5.105890
-3.294759, -1.991961, 3.992169
-5.756789, -5.474508, 5.363170
-5.565160, -6.146483, 8.459912
-7.021075, -2.306471, 7.639995
-7.027888, -3.586167, 7.015258
-4.889495, -3.183247, 4.494835
-2.872257, -1.805921, 5.631729
-7.839481, -3.736141, 6.186443
-3.681860, -6.608566, 6.014583
-7.306793, -2.187871, 6.718989
-9.699016, -2.020101, 6.021557
-6.288518, -2.614619, 2.628993
-10.110486, -3.852423, 5.020911
-3.812198, -1.517070, 5.987592
-5.764914, -2.399626, 7.392930
-1.577285, -2.508308, 8.669026
-4.854626, -2.887453, 5.426759
-4.874571, -1.063659, 4.860370
-5.923627, -3.870151, 4.143881
-8.296650, -1.385356, 3.189136
-6.037333, -2.889701, 3.255556
-4.289388, -6.383137, 6.961402
-8.304721, -2.057863, 1.236547
-8.725304, -2.874856, 2.915112
-6.439947, -6.365965, 6.555369
-12.198606, -4.144605, 10.171454
-7.957778, -1.377664, 5.116999
-4.547212, -2.016223, 4.191316
-8.311558, -2.058578, 5.013650
-7.384555, -3.601894, 3.123027
-5.773400, -2.388454, 6.697175
-2.321048, -6.979628, 4.118488
-3.833956, 0.291812, 0.006701
-3.180561, -6.367114, 4.904324
-5.644267, -3.271416, 4.493867
-8.008936, -3.597362, 5.016394
-2.250656, -1.972360, 4.535092
-5.713931, -5.398554, 5.818107
-6.259122, -5.077956, 5.680167
-5.688879, -3.449026, 4.713862
-4.528758, -3.820772, 5.779303
-6.620121, -3.210149, 2.175671
-4.808917, -6.474044, 9.410297
-3.950414, -5.817495, 5.398239
-9.697055, -5.914435, 4.355698
-5.837718, -5.117660, 7.161533
-4.383532, -3.800716, 3.229257
-5.973269, -3.250338, 6.511755
-7.980756, 0.885698, 2.649986
-7.419185, 1.047372, 4.718615
-3.887010, -3.568244, 1.557373
-5.795374, -5.335479, 6.957900
-5.883239, -1.289667, 9.257957
-6.429743, -5.962511, 4.730672
-6.298856, -4.589899, 6.137595
-6.491771, -3.291938, 5.319843
-6.866670, -2.302983, 6.694651
-5.832980, -0.397115, 4.154060
-6.906683, -5.639568, 6.906260
-7.815606, -2.504201, 7.122829
-8.884832, -3.934807, 6.880894
-9.750801, -3.960473, 6.481549
-6.752725, -1.720397, 4.520990
-5.147173, -3.509109, 0.947227
-6.571656, -2.625138, 4.176093
-5.005148, -4.795226, 4.159306
-8.248629, -0.275918, 8.536354
-7.515901, -2.901473, 5.401094
-8.933030, -3.346623, 4.486137
-0.994263, -4.728788, 4.225659
-5.552874, -2.875750, 5.365631
-2.549044, -1.536285, 4.186495
-9.624281, -4.572522, 5.539112
-6.749296, -3.927944, 6.147945
-4.962874, -2.322632, 3.851468
-4.202241, -3.788681, 6.885588
-3.916898, 2.766666, 4.927240
-5.719694, -4.370103, 2.469848
-6.832853, -6.472236, 8.013113
-4.002769, 0.206060, 4.073092
-6.882774, -3.733070, 4.628096
-0.991121, -3.577264, 3.243114
-6.967126, -0.860339, 1.821354
-8.701547, -2.694652, 2.388735
-7.136385, -4.725344, 5.866043
-3.031461, -3.040907, -0.250983
-4.261291, -4.215709, 3.795757
-9.396876, -0.828793, 4.770515
-3.494255, -5.273186, 4.531721
-9.643681, -5.583201, 8.182446
-10.735302, -1.348856, 1.559954
-7.362955, -3.591076, 5.815625
-7.043750, -6.261875, 7.626339
-4.512510, -2.225268, 1.403223
-7.724281, -2.778800, 7.710221
-1.785654, -3.248168, 5.194065
-8.602332, -4.290235, 7.372722
-5.968191, -2.105347, 7.449297
-8.727877, -3.426549, 5.232806
-4.005457, -3.058058, 4.257367
-6.053202, -1.715730, 4.500268
-7.573512, -0.335799, 3.718625
-7.116755, -6.288017, 5.548458
-5.999145, -3.209829, 6.195972
-5.114637, -4.767339, 6.238714
-5.406968, -1.039302, 4.556010
-4.415743, -1.467054, 8.681993
-5.464071, -7.943027, 3.362355
-6.755583, -3.627975, 7.114113
-5.620492, -3.438366, 6.758330
-4.342917, -2.705194, 6.196558
-6.594498, -2.271036, 6.290038
-3.623977, -6.426743, 7.616152
-4.107374, -6.148207, 1.589623
-3.580354, -4.685930, 6.593358
-4.702817, -6.636844, 2.514181
-9.163853, -2.934120, 8.619356
-1.532878, -6.450251, 8.791881
-10.838887, -3.115537, 7.122465
-6.164187, -3.457192, 4.775227
-5.924923, -3.295474, 6.299368
-6.404573, -3.441762, 5.881751
-7.970696, -6.764291, 5.171691
-6.218546, -6.865390, 8.532851
-6.615325, -0.862399, 6.778335
-6.058359, -0.669749, 5.746951
-5.591487, -9.381822, 4.215829
-7.859287, -8.534747, 3.181310
-8.196345, -4.836155, 6.784638
-5.114807, -2.043782, 8.198553
-8.340154, -3.177892, 6.945508
-5.199590, -4.444308, 3.833408
-4.887423, 0.788350, 5.558561
-5.669116, -3.689217, 6.611134
-6.455225, -7.189827, 2.112976
-4.458115, -2.670969, 5.912829
-8.204375, -2.557820, 6.156829
-6.026220, -1.785949, 4.665669
-6.195116, -3.802895, 9.408991
-4.660507, -5.238072, 7.572394
-2.309532, -0.353305, 6.630649
-5.030748, -5.590812, 3.581708
-6.133825, -3.776790, -0.077070
-3.066235, -2.187780, 4.935874
-6.429184, -4.025290, 5.878012
-5.827517, -2.070252, 6.574962
-7.487455, -5.890979, 5.581535
-5.064161, -2.706296, 6.386587
-7.853184, -4.875686, 3.723786
-3.637603, -7.939056, 2.847760
-9.279314, -5.200286, 3.528373
-7.878311, -0.455495, 4.372081
-4.461877, -4.729732, 4.088246
-4.563936, -3.541889, 4.338841
-6.834124, -5.403344, 3.722015
-8.702285, -5.235260, 6.629677
-10.738326, -1.042243, 5.997014
-7.076557, -4.420705, 3.287454
-6.388881, -5.743021, 7.003425
-3.947425, -3.440516, 5.268179
-6.056839, -2.832850, 5.320120
-4.813158, -4.218402, 6.277886
-8.343113, -4.991854, 3.889795
-7.208738, -5.719679, 4.936368
-9.596028, -1.621041, 7.379734
-5.361495, -2.397838, 3.365541
-7.313351, -3.524656, 4.144215
-7.635808, -6.118878, 4.317377
-7.744807, -1.781222, 10.140161
-11.300508, -2.311220, 8.607382
-8.715855, -1.919081, 7.569811
-4.119275, -5.251214, 6.352255
-1.593570, -1.819485, 2.941714
-10.287000, -3.584591, 2.486713
-7.106472, -4.241151, 6.156611
-6.552027, -3.631413, 2.424817
-5.178730, -3.985599, 6.074644
-6.513350, -3.926520, 8.384995
-7.449868, -1.854922, 7.279993
-1.642509, -6.293304, 8.817457
-6.483649, -3.831154, 7.324716
1.657714, -9.364583, 7.581659
-2.502499, -5.256973, 7.723998
0.199436, -3.378322, 1.590725
-1.821442, -5.762093, 2.996167
-1.256584, -8.146614, 8.297796
-1.888144, -4.582313, 7.860778
-1.360846, -3.797707, 6.421270
-5.895343, -4.616508, 9.014255
0.217596, -7.607408, 3.185042
-3.259838, -5.561535, 5.911111
-4.100090, -7.084724, 8.560702
0.466717, -6.940587, 9.598267
-0.891927, -5.345896, 8.386972
0.840239, -8.623400, 3.374649
-0.268260, -8.935925, 7.284896
0.068869, -6.312034, 5.887219
-0.164792, -5.398421, 4.717863
-2.681237, -4.542802, 7.960809
-1.591049, -7.246859, 4.370934
-5.707218, -7.859496, 4.961806
-4.157825, -0.215882, 9.093725
-4.071621, -4.854038, 3.035518
-2.329923, -6.039286, 3.279311
-4.143799, -4.974739, 7.154064
-5.723400, -5.171416, 5.375636
1.064528, -6.336326, 5.526602
-5.802387, -4.942293, 6.704926
-1.749221, -6.403704, 9.873289
-6.800972, -6.586103, 6.535238
-5.166823, -5.781782, 4.953689
-2.228028, -2.091422, 3.323991
-1.364905, -5.771824, 7.986809
-0.946516, -3.928558, 7.113991
-2.282977, -5.164211, 3.235250
-5.609819, -8.061210, 2.966301
-5.995113, -8.370925, 8.311453
-0.199388, -6.314082, 2.148054
-3.649272, -7.750272, 9.272535
-3.342626, -4.229699, 5.075263
