# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Additions to the 2MASS XSC -- deblended galaxy/star or galaxy/galaxy pairs, recentered galaxies. Provided by Tom Jarrett.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs
10100562-0828389 152.526542  -8.479639 249.505264  37.140312 10.097 10.349 11.963 10.096 10.349 11.794 0.055 0.033 0.051 0.073 0.017 0.057 0.053 1.462 1.614 9.999 98    NN 0004
09462113+0304163 146.588058   3.071200 233.241638  39.698265 10.131 10.463 11.203 10.045 10.339 11.102 0.026 0.021 0.021 0.044 0.031 0.032 0.049 1.542 1.840 0.360 98    NN Z000
17360511-6153378 264.025083 -61.898472 330.489685 -15.475598 10.175 10.430 11.122 10.175 10.429 11.122 0.043 0.035 0.026 0.046 0.039 0.015 0.064 1.537 1.681 0.520 98    NN 0111
17230761-1849383 260.779458 -18.828536   5.800697   9.756717 10.383 10.615 11.254 10.383 10.614 11.254 0.066 0.055 0.055 0.250 0.188 0.243 0.674 1.507 1.654 0.340 98    NN 0222
12524409+1550542 193.183716  15.848400 304.526001  78.716042 10.391 10.611 11.318 10.017 10.173 10.920 0.029 0.027 0.022 0.045 0.040 0.030 0.026 1.747 2.060 0.260 98    NN 0000
00545031+2914474  13.709610  29.246490 123.822647 -33.619282 10.392 10.840 11.717 10.298 10.722 11.582 0.021 0.020 0.020 0.032 0.028 0.028 0.057 1.318 1.652 0.570 98    NN Z000
14052208-4149056 211.342010 -41.818211 317.399017  18.967321 10.399 10.658 11.280 10.239 10.487 11.067 0.031 0.024 0.021 0.059 0.040 0.033 0.067 1.592 1.932 0.340 98    NN 0111
12461003+3043556 191.541794  30.732100 140.362503  86.216339 10.417 10.774 11.604  9.973 10.296 11.172 0.023 0.023 0.021 0.042 0.039 0.035 0.016 1.588 2.022 0.300 98    NN Z111
03574243-4854305  59.426781 -48.908470 257.166229 -48.229233 10.422 10.651 11.210  9.816 10.073 10.652 0.043 0.031 0.026 0.061 0.043 0.035 0.006 1.623 1.930 0.610 98    NN Z111
20374767+5138013 309.448608  51.633690  88.983360   6.330907 10.428 10.714 11.397 10.240 10.524 11.171 0.038 0.039 0.038 0.063 0.065 0.061 0.908 1.631 1.930 0.240 98    NN Z111
17054356-2524367 256.431488 -25.410191 357.987488   9.330547 10.444 10.668 11.327 10.127 10.290 10.905 0.038 0.033 0.032 0.051 0.043 0.040 0.395 1.464 1.708 0.600 98    NN 0111
08173216-4537115 124.384003 -45.619862 262.106659  -5.596023 10.460 10.633 11.235 10.132 10.597 11.047 0.038 0.030 0.030 0.061 0.058 0.051 0.806 1.418 1.758 0.580 98    NN 0111
07213034+5545413 110.376427  55.761478 161.394714  26.261681 10.483 10.785 11.463 10.004 10.176 10.846 0.034 0.030 0.026 0.049 0.039 0.032 0.076 1.459 1.767 0.960 98    NN Z111
18022485+2602250 270.602917 +26.043333  52.014526  21.711098 10.487 10.797 11.479 10.398 10.562 11.326 0.034 0.029 0.021 0.040 0.025 0.023 0.102 1.600 1.822 0.280 98    NN 0333
15532320+1157323 238.346664  11.958970  22.509077  44.820408 10.573 10.831 11.575 10.346 10.602 11.349 0.036 0.028 0.026 0.065 0.049 0.043 0.043 1.471 1.803 0.630 98    NN Z111
16060405+5525312 241.516876  55.425331  85.760315  45.159229 10.758 11.056 11.742 10.505 10.803 11.559 0.031 0.026 0.023 0.048 0.038 0.033 0.009 1.573 1.877 0.260 98    NN Z000
16312081+2011077 247.839167 +20.185000  37.505196  39.548946 10.764 11.095 11.783 10.617 10.990 11.641 0.060 0.042 0.029 0.050 0.043 0.030 0.063 1.645 1.815 0.200 98    NN 0000
10393190+0506268 159.882919   5.107450 242.033997  51.649860 10.784 11.184 11.840 10.723 11.033 11.670 0.032 0.025 0.024 0.055 0.038 0.035 0.026 1.243 1.556 0.850 98    NN Z111
15442739+4107190 236.115083 +41.120642  65.924789  52.015274 10.801 11.082 11.754 10.603 10.883 11.630 0.045 0.037 0.026 0.040 0.040 0.030 0.020 1.377 1.606 0.940 98    NN 0133
11273340+3603361 171.890833 +36.060833 181.090164  70.088852 10.810 11.163 11.885 10.719 11.089 11.794 0.035 0.027 0.020 0.040 0.029 0.024 0.026 1.436 1.622 0.280 98    NN 0000
11205670+1938024 170.233040 +19.631830 227.976929  67.965500 10.828 11.155 11.867 10.828 11.153 11.781 0.040 0.032 0.023 0.092 0.032 0.024 0.023 1.571 1.712 0.220 98    NN 0000
01595247-0705233  29.967680  -7.086960 165.073730 -64.207840 10.838 11.180 12.600 10.838 11.180 12.600 0.052 0.031 0.043 0.026 0.017 0.029 0.025 1.575 1.575 0.320 98    NN 0004
04055073+3043032  61.461958 +30.720694 165.026535 -15.845202 10.841 11.189 11.996 10.841 11.188 11.996 0.044 0.037 0.033 0.184 0.193 0.022 0.535 1.542 1.702 0.160 98    NN 0111
05495771+5023330  87.487833 +50.390564 161.799637  11.591148 10.859 11.142 11.886 10.858 11.024 11.885 0.043 0.028 0.026 0.156 0.026 0.159 0.248 1.484 1.635 0.440 98    NN 0300
16495269+5532308 252.471667 +55.543056  83.960236  39.103199 10.895 11.156 11.813 10.751 11.011 11.692 0.053 0.035 0.026 0.045 0.037 0.027 0.018 1.449 1.632 0.420 98    NN 0000
17413903-0437191 265.412628  -4.621980  20.594061  13.251576 10.970 11.223 11.972 10.714 10.943 11.717 0.052 0.045 0.044 0.080 0.066 0.066 0.717 1.422 1.707 0.500 98    NN 0111
02251422-4025268  36.309231 -40.424099 253.422333 -66.525726 10.978 11.397 12.118 10.890 11.159 11.826 0.028 0.024 0.022 0.046 0.033 0.029 0.014 1.199 1.524 0.720 98    NN 0111
07213266+5545268 110.386078  55.757450 161.400208  26.266302 11.058 11.250 11.972 10.670 10.790 11.554 0.032 0.027 0.023 0.045 0.034 0.030 0.076 1.265 1.603 0.800 98    NN Z111
14201250-6821596 215.052063 -68.366547 310.995270  -6.895642 11.064 11.002 11.734 10.892 10.810 11.563 0.047 0.027 0.031 0.066 0.036 0.042 0.513 1.352 1.509 0.440 98    NN 0111
02353199-0709366  38.886208  -7.154433 178.751602 -58.249912 11.172 11.438 11.961 11.172 11.438 11.961 0.089 0.053 0.033 0.046 0.031 0.021 0.028 1.746 1.746 0.180 98    NN 0000
12170789+0340563 184.288167  +3.683056 282.181152  65.162659 11.178 11.502 12.037 11.178 11.502 12.037 0.095 0.076 0.044 0.049 0.045 0.027 0.018 1.815 1.815 0.420 98    NN 0020
12384092-4212510 189.668917 -42.214778 300.409241  20.595047 11.235 11.503 12.170 11.235 11.503 12.170 0.100 0.062 0.050 0.053 0.037 0.032 0.122 1.681 1.681 0.300 98    NN 0111
09211152+6415117 140.297917 +64.251667 149.785858  40.220989 11.242 11.468 12.156 11.056 11.312 12.016 0.058 0.038 0.029 0.050 0.039 0.032 0.055 1.566 1.761 0.280 98    NN 0000
10190493+4627121 154.770625 +46.455056 169.823212  54.398899 11.272 11.550 12.202 11.149 11.383 12.067 0.051 0.047 0.029 0.047 0.047 0.033 0.011 1.236 1.457 0.720 98    NN 0000
03252491-1613594  51.353708 -16.233925 204.005997 -52.774845 11.280 11.592 12.276 11.280 11.592 12.276 0.083 0.049 0.040 0.044 0.030 0.026 0.041 1.697 1.698 0.180 98    NN 0000
13230160-3546264 200.753500 -35.775972 310.097260  26.657763 11.290 11.586 12.194 10.743 10.958 11.499 0.090 0.053 0.043 0.108 0.067 0.055 0.062 1.405 1.818 0.560 98    NN 0222
15412906-8138012 235.365750 -81.625944 308.970795 -20.834883 11.301 11.564 12.468 11.301 11.564 12.468 0.130 0.083 0.086 0.070 0.050 0.059 0.276 1.563 1.563 0.320 98    NN 0111
22513480+5000316 342.892750 +50.007430 103.998062  -8.404798 11.301 11.598 12.372 11.194 11.387 12.176 0.052 0.044 0.037 0.050 0.044 0.040 0.233 1.210 1.439 0.480 98    NN 0111
17291562+1609275 262.316667 +16.162222  38.896317  25.269751 11.332 11.655 12.386 11.332 11.655 12.386 0.083 0.048 0.038 0.045 0.029 0.025 0.120 1.561 1.562 0.180 98    NN 0044
10300616+3828108 157.526708 +38.468889 182.838348  58.443058 11.335 11.692 12.444 11.186 11.578 12.341 0.068 0.055 0.040 0.060 0.058 0.046 0.015 1.405 1.597 0.320 98    NN 0000
06413093+4010268 100.384583 +40.169722 175.268585  15.350982 11.345 11.662 12.305 11.345 11.662 12.305 0.068 0.047 0.041 0.077 0.029 0.060 0.146 1.688 1.833 0.260 98    NN 0222
15355385+3840311 233.974365  38.675308  62.221123  53.941433 11.357 11.711 12.408 11.253 11.529 12.314 0.030 0.025 0.023 0.051 0.040 0.037 0.017 1.283 1.656 0.420 98    NN 0111
13444917+3710028 206.202083 +37.163056  77.962418  74.914352 11.382 11.695 12.437 11.382 11.695 12.437 0.054 0.035 0.027 0.057 0.054 0.018 0.008 1.589 1.735 0.180 98    NN 0222
15364534-7125352 234.185750 -71.423750 315.382629 -12.671414 11.393 11.628 12.334 11.393 11.628 12.334 0.120 0.065 0.060 0.065 0.040 0.039 0.094 1.630 1.630 0.400 98    NN 0111
16561214-2902290 254.050598 -29.041380 353.760712   8.835663 11.399 11.834 12.470 11.279 11.786 12.409 0.062 0.063 0.057 0.105 0.113 0.101 0.219 1.241 1.519 1.000 98    NN 0111
16350789+4059285 248.782852  40.991241  64.949509  42.492680 11.401 11.785 12.701 11.275 11.639 12.563 0.032 0.030 0.030 0.049 0.045 0.044 0.010 1.522 1.792 0.160 98    NN Z000
13242754-3025548 201.120083 -30.431478 311.317200  31.901587 11.403 11.930 12.569 10.886 11.624 12.131 0.098 0.071 0.060 0.084 0.095 0.069 0.072 1.575 1.882 0.480 98    NN 0244
13000424-1521450 195.021167 -15.365139 306.010559  47.457573 11.413 11.739 12.316 11.413 11.739 12.316 0.100 0.060 0.046 0.055 0.037 0.030 0.060 1.624 1.624 0.200 98    NN 0000
03261474+3803504  51.564167 +38.065000 153.638702 -15.408691 11.444 11.742 12.382 11.444 11.549 12.376 0.053 0.035 0.032 0.094 0.034 0.074 0.242 1.352 1.527 0.540 98    NN 0000
22431991+3400052 340.826667 +33.999167  94.681038 -21.748409 11.444 12.732 12.365 11.444 12.732 12.365 0.086 0.076 0.036 0.090 0.058 0.049 0.080 1.587 1.723 0.420 98    NN 0222
23322239+2330467 353.096833 +23.511917 100.429230 -35.880028 11.479 11.820 12.526 11.478 11.820 12.526 0.072 0.047 0.036 0.119 0.029 0.024 0.063 1.501 1.667 0.340 98    NN 0000
03235400-3730449  50.975042 -37.512472 240.661270 -56.417274 11.490 11.670 12.389 11.490 11.670 12.389 0.082 0.053 0.043 0.046 0.032 0.028 0.024 1.569 1.569 0.500 98    NN 0000
15140832+8156194 228.534683  81.938721 117.299545  33.563709 11.494 11.863 12.622 11.362 11.772 12.443 0.031 0.027 0.025 0.048 0.043 0.036 0.045 1.215 1.558 0.420 98    NN 0111
09581167-2934465 149.547667 -29.576833 263.594452  19.761496 11.505 11.832 12.347 11.230 11.690 12.347 0.110 0.077 0.052 0.100 0.090 0.035 0.093 1.504 1.747 0.560 98    NN 0000
18145602+1901499 273.732890  19.034530  46.301052  16.387400 11.523 11.791 12.601 11.522 11.789 12.601 0.067 0.052 0.045 0.109 0.099 0.031 0.137 1.490 1.648 0.220 98    NN 0111
19544001-1241168 298.667875 -12.687339  28.406258 -19.673998 11.540 11.781 12.289 11.111 11.460 11.928 0.110 0.077 0.056 0.081 0.069 0.052 0.151 1.356 1.542 0.820 98    NN 0222
16102310-6244381 242.598833 -62.745881 323.605225  -8.159783 11.557 12.061 12.875 11.555 12.061 12.873 0.098 0.097 0.097 0.209 0.214 0.267 0.175 1.464 1.617 0.300 98    NN 0222
15562915-3654078 239.118917 -36.899639 339.233337  12.605658 11.575 11.903 12.614 11.193 11.903 12.614 0.080 0.074 0.064 0.084 0.049 0.046 0.459 1.519 1.861 0.220 98    NN 0111
15131756-1807557 228.321910 -18.136630 344.127747  33.159893 11.580 11.724 12.331 11.580 11.724 12.331 0.096 0.060 0.045 0.055 0.037 0.030 0.100 1.622 1.622 0.380 98    NN 0000
22484680-3705272 342.192833 -37.091000   4.108920 -62.331547 11.584 11.875 12.619 11.406 11.754 12.517 0.065 0.042 0.034 0.070 0.047 0.042 0.022 1.326 1.560 0.300 98    NN 0000
10411138-7321568 160.297042 -73.368583 293.840027 -12.837179 11.591 11.920 12.497 11.591 11.920 12.497 0.122 0.090 0.067 0.166 0.058 0.101 0.178 1.663 1.805 0.320 98    NN 0114
10153100+1402281 153.877083 +14.040833 224.773102  51.425758 11.592 11.900 12.670 11.452 11.820 12.559 0.060 0.055 0.038 0.060 0.061 0.044 0.052 1.480 1.671 0.220 98    NN 0000
11595027+3936067 179.961667 +39.602500 160.347122  73.554550 11.593 11.891 12.603 11.495 11.748 12.482 0.057 0.045 0.030 0.056 0.048 0.037 0.023 1.274 1.486 0.440 98    NN 0000
13272845-3810353 201.873042 -38.177639 310.685303  24.152210 11.593 11.842 12.528 11.593 11.842 12.528 0.133 0.098 0.071 0.076 0.062 0.048 0.077 1.671 1.671 0.220 98    NN 0000
06100970-3406499  92.539708 -34.106194 240.845215 -22.812849 11.598 11.820 12.399 11.598 11.820 12.399 0.065 0.034 0.028 0.037 0.021 0.018 0.033 1.522 1.522 0.120 98    NN 0000
16503125+4148421 252.629917 +41.810250  66.182793  39.640423 11.598 12.013 12.806 11.490 11.986 12.725 0.062 0.047 0.037 0.063 0.064 0.049 0.022 1.435 1.633 0.260 98    NN 0111
09275602+5722204 141.973917 +57.375500 158.066086  43.378891 11.614 11.989 12.615 11.419 11.626 12.180 0.070 0.063 0.040 0.067 0.111 0.036 0.038 1.164 1.407 0.100 98    NN 0000
16015046+1759516 240.461583 +17.995664  31.509659  45.368206 11.618 12.024 12.786 11.607 12.014 12.780 0.064 0.046 0.035 0.108 0.152 0.259 0.049 1.384 1.582 0.200 98    NN 0000
14301541-3414156 217.565375 -34.235917 325.214355  24.322542 11.619 11.839 12.454 11.202 11.837 11.912 0.122 0.065 0.052 0.119 0.177 0.053 0.086 1.484 1.803 0.340 98    NN 0000
16415358-2342061 250.473730 -23.699680 355.992493  14.666599 11.620 11.822 12.411 11.610 11.822 12.411 0.071 0.052 0.043 0.174 0.036 0.031 0.855 1.228 1.425 0.460 98    NN 0000
05100496-1456598  77.518542 -14.946961 215.623672 -29.053576 11.623 11.887 12.449 11.623 11.887 12.449 0.134 0.080 0.054 0.144 0.051 0.037 0.104 1.642 1.774 0.240 98    NN 0000
05453957+5836099  86.414292 +58.599414 154.074066  14.949176 11.633 11.944 12.514 11.627 11.942 12.514 0.064 0.049 0.036 0.135 0.064 0.025 0.283 1.375 1.541 0.260 98    NN 0000
02594211+3602171  44.927292  36.035889 150.111252 -19.974730 11.650 12.051 12.748 11.611 12.023 12.728 0.049 0.041 0.030 0.179 0.162 0.099 0.245 1.188 1.399 0.520 98    NN 0111
