# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
03053084+4250076  46.378601  42.835495 147.546783 -13.537429  8.548  8.807  9.499  8.446  8.705  9.429 0.019 0.015 0.014 0.018 0.014 0.014 0.137 1.859 2.002 0.360 98    NN 0111 del_v3
03054653+0404325  46.443863   4.075588 174.224777 -45.002758 11.219 12.181 13.715 11.084 12.181 13.559 0.053 0.049 0.078 0.048 0.033 0.101 0.121 1.336 1.544 0.100 52    LM 0550 rjc_v0
03060493-1536318  46.520481 -15.608930 199.645096 -56.734486  9.051  9.259  9.940  9.051  9.259  9.940 0.029 0.017 0.014 0.014 0.008 0.007 0.037 1.770 1.770 0.500 40    LM 0222 rjc_v0
03060656+4221569  46.527275  42.365803 147.888947 -13.886843 10.474 10.810 11.534 10.232 10.631 11.227 0.042 0.032 0.026 0.040 0.036 0.028 0.164 1.417 1.685 0.380 40    LM 0133 rjc_v0
03122133-5512149  48.088608 -55.204155 270.511566 -52.120914 11.396 11.582 11.737 11.395 11.582 11.737 0.115 0.070 0.036 0.115 0.042 0.022 0.014 1.456 1.610 0.340 98    NN 0666 del_v3
03130674+2837586  48.278084  28.632961 156.984894 -24.713560 11.273 11.626 12.324 11.105 11.447 12.135 0.066 0.048 0.037 0.058 0.048 0.040 0.317 1.276 1.494 0.800 98    NN 0111 del_v3
03154885+4820359  48.953720  48.343372 146.217148  -7.892225 11.671 11.893 12.694 11.415 11.636 12.421 0.079 0.064 0.064 0.075 0.070 0.073 0.587 1.394 1.647 0.200 21    NN 0000 del_v3
03171816+3813062  49.325760  38.218506 152.039062 -16.273352 11.678 11.965 12.591 11.678 11.965 12.591 0.072 0.053 0.044 0.043 0.036 0.031 0.340 1.403 1.403 0.240 25    NN 0000 del_v3
03175766-4414175  49.490280 -44.238170 252.934780 -56.079060 10.937 11.418 12.062 10.461 11.055 11.687 0.066 0.046 0.040 0.070 0.062 0.057 0.012 1.462 1.821 0.520 22    JH 0333 del_v4
03205285+3815118  50.220203  38.253410 152.626419 -15.853551 11.474 11.677 12.292 10.937 11.337 12.044 0.093 0.067 0.051 0.106 0.099 0.087 0.247 1.352 1.822 0.860 98    NN 0166 del_v3
03235400-3730449  50.975040 -37.512470 240.661270 -56.417274 11.490 11.670 12.389 11.490 11.670 12.389 0.082 0.053 0.043 0.046 0.032 0.028 0.024 1.569 1.569 0.500 98    NN 0000 del_v3
03235432-3730243  50.976376 -37.506783 240.650833 -56.416885 11.356 11.474 12.149 11.356 11.474 12.149 0.088 0.053 0.042 0.047 0.031 0.027 0.024 1.483 1.483 0.620 98    NN 0222 del_v3
03252491-1613594  51.353867 -16.233206 204.005997 -52.774845 11.280 11.592 12.276 11.280 11.592 12.276 0.083 0.049 0.040 0.044 0.030 0.026 0.041 1.697 1.698 0.180 98    NN 0000 del_v3
03252513-1613416  51.354782 -16.228291 203.999146 -52.772064 11.260 11.620 12.258 11.260 11.620 12.258 0.091 0.055 0.044 0.048 0.033 0.028 0.041 1.794 1.795 0.107 98    NN 0000 del_v3
03261474+3803504  51.561543  38.064072 153.638702 -15.408691 11.444 11.742 12.382 11.444 11.549 12.376 0.053 0.035 0.032 0.094 0.034 0.074 0.242 1.352 1.527 0.540 98    NN 0000 del_v3
03284709+3633086  52.196320  36.552429 154.980896 -16.343197 11.594 11.777 12.711 11.153 11.161 12.099 0.072 0.051 0.051 0.076 0.052 0.057 0.294 1.567 1.930 0.120 98    NN 0222 del_v3
03303609-1756222  52.650356 -17.939615 207.377853 -52.284260 11.019 11.206 11.939 10.736 11.206 11.642 0.100 0.063 0.041 0.087 0.035 0.043 0.038 1.480 1.727 0.680 40    LM 0000 rjc_v0
03350135-2455591  53.755630 -24.933109 218.954117 -53.346954  7.837  8.078  8.747  7.630  7.914  8.561 0.021 0.018 0.017 0.039 0.029 0.023 0.026 1.947 2.231 0.720 40    LM Z333 rjc_v0
03362759-3458346  54.114960 -34.976299 235.926315 -54.058590  6.964  7.216  7.875  6.869  7.126  7.774 0.016 0.016 0.015 0.022 0.018 0.017 0.017 2.030 2.271 0.594 40    LM Z111 rjc_v0
03372681+0336579  54.361740   3.615970 181.958470 -39.527810 11.316 12.392 13.955 11.316 12.392 13.955 1.138 1.257 2.114 9.999 0.895 9.999 0.146 2.079 2.177 1.000 22    NN 0111 del_v4
03392830+1323417  54.867908  13.394834 173.478928 -32.525757 11.652 11.901 12.657 11.550 11.727 12.555 0.074 0.037 0.037 0.073 0.042 0.051 0.352 1.422 1.630 0.160 98    NN 0000 del_v3
03414562+4352582  55.440033  43.882896 152.519150  -8.989005 11.277 12.458 13.960 11.087 12.431 13.924 0.046 0.071 0.111 0.056 0.139 0.254 0.518 1.152 1.581 0.680 98    NN 0111 del_v3
03421153-2953366  55.548061 -29.893511 227.520203 -52.599155  8.559  8.792  9.409  8.313  8.548  9.127 0.021 0.019 0.017 0.043 0.032 0.024 0.013 1.869 2.191 0.540 40    LM Z111 rjc_v0
03422921-1328208  55.621731 -13.472465 202.781433 -47.873230 10.491 10.669 11.348 10.314 10.495 11.165 0.054 0.030 0.021 0.047 0.026 0.021 0.068 1.398 1.616 0.780 40    LM 0000 rjc_v0
03422928-1329168  55.622009 -13.488015 202.802505 -47.879734  8.577  8.868  9.521  8.371  8.680  9.306 0.021 0.014 0.011 0.022 0.014 0.012 0.068 1.989 2.218 0.240 98    NN 0666 del_v3
03472142+4702325  56.839230  47.042355 151.338348  -5.894871 11.660 11.911 12.613 11.599 11.819 12.563 0.046 0.035 0.032 0.050 0.042 0.042 0.554 1.029 1.314 0.680 21    NN 0333 del_v3
03490433-4851278  57.268036 -48.857788 257.651642 -49.613411 11.244 11.366 12.152 11.244 11.366 12.152 0.103 0.063 0.049 0.054 0.036 0.031 0.010 1.438 1.437 0.720 40    LM 0616 rjc_v0
03504306+7407352  57.679996  74.126564 134.468765  15.422453 11.678 11.808 12.453 11.673 11.805 12.453 0.082 0.056 0.039 0.182 0.145 0.027 0.264 1.407 1.583 0.340 98    NN 0000 del_v3
03554380-4222233  58.932610 -42.373150 247.462982 -49.768867 10.766 10.984 11.568 10.766 10.984 11.568 0.070 0.049 0.033 0.067 0.026 0.039 0.012 1.684 1.809 0.220 40    ND 0111 rjc_v0
03562202+3352292  59.091736  33.874912 161.277618 -14.890846 11.444 12.195 12.253 11.420 12.134 12.217 0.031 0.030 0.017 0.032 0.038 0.020 0.247 0.929 1.212 0.800 30    ND 0033 rjc_v2
03571019-2852351  59.292404 -28.876463 226.626465 -49.228615  9.866 10.122 10.833  9.796 10.007 10.768 0.032 0.023 0.017 0.035 0.021 0.020 0.009 1.597 1.767 0.240 40    LM 0000 rjc_v0
03574256-4854409  59.427341 -48.911324 257.170258 -48.228184 10.099 10.113 11.052 10.099 10.113 11.052 0.069 0.038 0.037 0.034 0.019 0.021 0.006 1.895 1.895 0.360 98    NN 0133 del_v3
03574379-4854581  59.432514 -48.916138 257.176025 -48.223721 10.947 10.993 11.832 10.945 10.993 11.832 0.110 0.058 0.051 0.107 0.060 0.031 0.006 1.452 1.605 1.000 40    NN 0000 rjc_v2
03582180-4427585  59.590908 -44.466251 250.545227 -49.004105 10.184 10.508 11.210 10.082 10.508 11.143 0.038 0.027 0.021 0.040 0.013 0.026 0.013 1.831 1.985 0.200 98    NN 0666 del_v3
03582336-4428024  59.597309 -44.467403 250.545883 -48.999416  9.925 10.180 10.883  9.925 10.180 10.883 0.040 0.027 0.022 0.020 0.014 0.012 0.013 1.918 1.918 0.140 98    NN 0000 del_v3
03593698-6738033  59.904129 -67.634277 281.371063 -40.726665  8.657  8.941  9.602  8.605  8.905  9.550 0.020 0.015 0.011 0.023 0.018 0.013 0.062 2.022 2.157 0.360 98    NN 0666 del_v3
03593974-6738201  59.915695 -67.638885 281.373322 -40.720528  8.473  8.772  9.442  8.473  8.772  9.442 0.021 0.014 0.012 0.011 0.007 0.006 0.061 1.964 1.964 0.260 40    LM 0000 rjc_v0
04002219+3839233  60.092575  38.656414 158.634964 -10.782631 10.163 10.430 11.132 10.065 10.283 11.051 0.033 0.032 0.029 0.030 0.038 0.031 0.960 1.462 1.645 0.260 21    LM 0303 del_v3
04032320+6413437  60.846775  64.228783 142.007751   8.722571 11.651 11.886 12.565 11.501 11.822 12.316 0.066 0.060 0.049 0.067 0.074 0.055 0.767 1.143 1.392 0.620 21    NN 0333 del_v3
04042675-0211464  61.111481  -2.196223 193.071930 -37.563614  9.952 10.191 10.719  9.952 10.191 10.719 0.056 0.039 0.025 0.028 0.019 0.013 0.166 2.041 2.041 0.120 98    NN 0331 del_v3
04055073+3043032  61.461395  30.717798 165.026535 -15.845202 10.841 11.189 11.996 10.841 11.188 11.996 0.044 0.037 0.033 0.184 0.193 0.022 0.535 1.542 1.702 0.160 98    NN 0111 del_v3
04161343+6338240  64.055893  63.639931 143.455185   9.261617 11.011 11.214 11.738 10.744 11.083 11.578 0.057 0.048 0.037 0.065 0.071 0.057 0.970 1.158 1.542 0.940 21    LM 0333 del_v3
04215910+3548260  65.496338  35.807251 163.794174  -9.859797 11.588 11.796 12.488 11.432 11.593 12.272 0.072 0.058 0.047 0.073 0.062 0.054 0.618 1.170 1.410 0.820 21    NN 0333 del_v3
04222778-5620043  65.615940 -56.334550 266.031860 -42.694760 10.466 10.720 11.412 10.138  9.808 11.024 0.076 0.054 0.042 0.069 0.029 0.042 0.021 1.633 1.890 0.420 22    JH 0000 del_v4
04232710+7517440  65.862923  75.295570 135.223083  17.764648  8.445  8.745  9.458  8.285  8.547  9.243 0.019 0.018 0.017 0.037 0.032 0.025 0.150 1.869 2.190 0.540 40    LM Z000 rjc_v0
04241322+3054522  66.055206  30.914558 167.737976 -12.894913 11.106 11.522 12.509 11.106 11.522 12.509 0.036 0.029 0.028 0.018 0.017 0.019 0.603 1.508 1.508 0.200 40    LM 0343 rjc_v0
04313407+1808048  67.892014  18.134695 178.928360 -20.047503  9.255 10.608 12.413  9.255 10.550 12.230 0.018 0.040 0.062 0.034 0.037 0.071 0.872 1.551 1.690 0.400 22    LM 0000 rjc_v0
04314438+1808318  67.935120  18.142141 178.949677 -20.011002 10.291 11.751 99.999  9.796 11.550 15.758 0.060 0.123 9.999 0.053 0.173 0.266 0.856 1.491 1.774 0.480 22    LM 000n rjc_v0
04335902-5951487  68.495857 -59.863438 270.025635 -40.282646 11.331 13.949 16.605 10.754 13.949 15.666 0.102 0.291 1.393 0.099 0.291 0.103 0.021 1.540 1.894 0.520 98    NN 0000 del_v3
